date,open,high,low,close,volume,turn
2017-06-28,457.9983795,457.9983795,447.5061115,449.6821454,3772874,0.300340758
2017-06-29,450.6282471,451.6216539,444.6678063,447.5155725,3509272,0.279356643
2017-06-30,446.0964199,448.6035895,442.5863825,446.4180945,2242717,0.178532155
2017-07-03,448.6414335,448.6414335,433.2199756,435.5568468,4962853,0.395069391
2017-07-04,434.2228434,435.2067892,424.7996703,427.5622873,5648895,0.449681969
2017-07-05,428.5935382,435.5190027,428.5935382,435.3297824,3754032,0.298840835
2017-07-06,433.4186569,435.3960095,426.313433,431.4034603,4204439,0.334695619
2017-07-07,433.1898178,433.2378379,423.7298472,428.31097,3779647,0.300879925
2017-07-10,429.1849368,436.8873697,425.4297607,436.4743964,3662409,0.291547159
2017-07-11,436.5032085,446.1840717,436.0230069,444.7914872,4460182,0.355054116
2017-07-12,447.3557635,447.5382401,436.98341,439.3556057,2895072,0.230463069
2017-07-13,437.3195511,443.6197954,435.7156779,438.0974776,2595135,0.206586495
2017-07-14,438.1839139,440.5945257,435.110624,438.3375784,1772657,0.141112888
2017-07-17,438.9426323,439.9030354,428.608695,432.2486227,3526368,0.280717575
2017-07-18,434.0925967,436.0134029,430.2605883,434.6304224,3068449,0.244264797
2017-07-19,436.0230069,445.2620847,434.8705232,438.7697598,5625994,0.447858928
2017-07-20,437.8093567,448.4026028,437.8093567,447.9992335,4663487,0.371238272
2017-07-21,448.4698311,456.201076,445.3005008,454.4627464,4679241,0.372492373
2017-07-24,456.0762236,466.1316441,456.0762236,458.8806007,4271643,0.340045413
2017-07-25,463.1063743,463.6826162,457.2479154,459.0342652,2192999,0.174574339
2017-07-26,459.1207014,462.5589445,448.0856698,452.9549135,3147018,0.250519305
2017-07-27,452.9549135,457.0078146,452.4458999,455.1062165,1959503,0.15598682
2017-07-28,452.3498596,464.9023281,449.1901334,464.7582676,4661877,0.371110107
2017-07-31,464.8350999,468.6382961,461.9538906,462.1651793,3841218,0.305781303
2017-08-01,461.9538906,463.8746968,458.4964394,461.2239842,2750154,0.218926828
2017-08-02,461.0319036,465.6802546,459.5624869,463.7210323,2677422,0.213136976
2017-08-03,464.5277709,467.5722487,456.7965259,458.3235669,3176839,0.252893215
2017-08-04,458.1122782,460.0138763,453.8865045,454.8853238,1868114,0.148711771
2017-08-07,453.7904642,463.2984549,452.474712,462.4917163,2309937,0.183883223
2017-08-08,462.9142937,465.0463886,460.5132859,463.4713275,1605158,0.127779081
2017-08-09,465.6418385,473.4595197,462.9431058,471.4138611,4179447,0.332706123
2017-08-10,471.6443578,479.8173882,469.6371154,472.1629755,3536438,0.2815192
2017-08-11,469.6371154,476.8881588,464.3356903,464.8927241,3657257,0.291137033
2017-08-14,465.9971876,480.2975898,465.9971876,480.0382809,3933147,0.313099338
2017-08-15,480.3071938,481.2579929,475.409138,476.331125,2716322,0.216233622
2017-08-16,478.2807433,479.0490657,473.4787278,476.8305346,1858722,0.147964118
2017-08-17,477.896582,477.896582,470.4054378,473.1810028,2584673,0.205753664
2017-08-18,473.2866471,474.8617082,468.6767123,470.2613774,2385775,0.189920329
2017-08-21,468.6767123,474.8232921,467.658685,470.3382096,2354662,0.18744357
2017-08-22,468.1004704,470.0981089,457.1518751,467.9275978,4245703,0.337980452
2017-08-23,466.2276844,475.0441848,465.1424289,474.4487349,2721499,0.216645738
2017-08-24,474.4295268,476.7440983,472.5375327,473.2962512,1815678,0.144537588
2017-08-25,473.9109092,474.6792316,469.9444444,473.4691237,1729788,0.137700289
2017-08-28,473.4787278,477.5988571,471.5867337,472.5567408,2902107,0.231023092
2017-08-29,473.4979358,475.2842856,468.6863163,470.0596927,2517662,0.200419233
2017-08-30,470.3093975,474.1990301,469.7907799,473.4499157,1850364,0.147298777
